Pedon,Horizon,Depth (cm),Sand,Silt,Clay,Silt/clay,Textural,Bulk,Particle,Porosity
,,,(%),(%),(%),Ratio,class,density(mgkg-1),Density (mgkg -1),(%)
,,,,TLL1 (Typic Endoaqualfs),,,,
1,Ap,0-30,74,9,17,0.49,LS,1.48,2.47,40
,AB,30-49,74,10,17,0.57,LS,1.62,2.41,33
,B,49-73,71,8,21,0.39,SCL,1.60,2.41,34
,Bt1,73-104,71,7,21,0.41,SCL,1.50,2.47,39
,Bt2,104-110,71,8,21,0.36,SCL,1.70,2.54,33
,,W.Average,72,9,20,0.44,,1.58,2.46,36
2,Ap,0-18,82,13,8,2.19,LS,1.40,2.47,43
,AB,18-27,86,9,6,0.46,LS,1.66,2.54,34
,Bt1,27-40,66,9,25,0.36,SCL,1.80,2.47,27
,Bt2,40-64,68,8,24,0.35,SCL,1.86,2.47,25
,Bt3,64-69,69,9,22,0.39,SCL,1.68,2.54,34
,,W.Average,74,9,17,0.75,,1.68,2.50,33
,,,,TUP2 (Typic Haplustepts),,,,
3,Ap,0-18,88,7,6,1.10,,1.51,2.47,39
,AB,18-27,87,7,6,1.09,LS,1.57,2.54,38
,2Bw1,27-66,75,5,21,0.23,SCL,1.62,2.47,34
,2Bw2,66-135,76,5,19,0.26,SCL,1.56,2.47,37
,2Bw3,135-204,73,7,20,0.33,SCL,1.49,2.54,41
,,W.Average,74,6,14,0.60,,1.55,2.50,38
4,AP,0-28,82,7,5,1.27,LS,1.41,2.41,42
,AB,28-44,87,7,9,0.18,LS,1.37,2.47,45
,2B1,44-97,76,9,16,0.54,SL,1.34,2.54,47
,2B2,97-135,82,6,12,0.47,LS,1.44,2.47,42
,2Bt1,135-175,74,7,19,0.34,LS,1.39,2.47,44
,2Bt2,175-203,73,7,20,0.37,SCL,1.50,2.41,38
,,W.Average,79,7,13,,,,,
,,,,TUP3 (Lithic Ustorthents),,,,
5,Ap,0-11,86,9,6,1.46,S,1.51,2.54,41
,AB,11-40,88,7,6,1.12,G,1.40,2.47,43
,B,40-43,89,9,6,1.53,G,1.41,2.41,41
,,W.Average,88,8,6,1.37,,1.44,2.47,42
6,Ap,0-10,85,8,6,1.25,S,1.53,2.41,36
,AB,10-18,88,7,5,1.12,G,1.54,2.47,38
,B,,84,9,9,1.11,G,1.60,2.47,35
,,W.Average,83,8,8,1.16,,1.56,2.45,36
