Pedon,Horizon,Depth,pH,pH,Organic,OM,Total,C:N,Available,SAR,ESP,ECe
,,(cm),(H2O1:1),(Cacl 21:2),carbon,(%),N,Ratio,P,,(%),(dS/m)
,,,,,(%),,(g/kg),,(mgkg-1),,,
,,,,TLL1,(Typic Endoaqualfs),,,,,
1,Ap,0-30,7.6,7.0,1.34,2.68,0.10,1.36,0.40,1.60,1.10,3.08
,AB,30-49,8.1,7.4,1.38,2.76,0.10,1.41,0.40,1.60,1.10,3.99
,B,49-73,8.2,7.3,1.32,2.64,0.09,1.45,0.39,1.63,0.84,0.88
,Bt1,73-104,7.5,6.7,0.66,1.32,0.08,0.79,0.38,1.52,0.10,3.80
,Bt2,104-110,7.4,6.5,1.16,2.32,0.09,1.27,0.38,1.43,0.84,3.94
,,Average,7.8,7.0,1.17,2.34,0.09,1.26,0.39,1.56,0.80,3.14
2,Ap,0-18,7.8,6.3,0.54,1.08,0.10,0.55,0.33,2.60,2.50,3.90
,AB,18-27,7.7,6.8,0.64,1.28,0.10,0.65,0.33,2.57,2.67,3.02
,Bt1,27-40,7.6,6.7,0.88,1.76,0.09,0.97,0.31,2.71,2.34,3.07
,Bt2,40-64,7.6,6.6,1.04,2.08,0.08,1.24,0.33,2.48,2.55,3.98
,Bt3,64-69,7.6,6.6,1.16,2.32,0.08,1.38,0.32,2.63,2.37,3.78
,,Average,7.7,6.6,0.85,1.70,0.05,0.96,0.32,2.60,2.50,3.55
,,,,TUP 2,(Typic Haplustepts),,,,,
3,Ap,0-18,7.1,6.1,0.70,1.40,0.07,1.04,0.47,0.63,1.70,1.16
,AB,18-27,6.9,6.2,1.30,2.60,0.06,2.06,0.46,2.04,1.72,1.06
,2Bw1,27-66,7.0,6.3,0.70,1.40,0.07,1.25,0.45,1.86,1.41,0.88
,2Bw2,66-135,7.1,6.4,0.72,1.44,0.06,1.29,0.44,1.96,12.7,0.99
,2Bw3,135-204,7.0,6.2,0.50,1.00,0.05,1.02,0.43,1.86,1.50,1.24
,,Average,7.0,6.2,0.78,1.57,0.07,1.33,0.45,1.61,1.52,1.10
4,Ap,0-28,7.0,6.3,1.10,2.20,0.06,1.75,0.37,2.54,2.51,1.55
,AB,28-44,6.9,6.2,1.12,2.24,0.05,1.78,0.37,2.60,2.57,1.74
,2B1,44-97,6.9,6.3,0.88,1.76,0.06,1.57,0.37,2.68,2.90,2.02
,2B2,97-135,7.0,6.1,0.40,2.08,0.05,0.68,0.38,2.88,2.90,2.66
,2Bt1,135-175,7.0,6.3,1.20,2.32,0.05,2.45,0.37,2.88,3.78,1.98
,2Bt2,175-203,7.8,6.4,0.76,2.04,0.05,1.36,0.36,3.52,2.50,2.23
,,Average,7.1,6.3,0.76,2.10,0.05,1.60,0.37,2.90,2.86,2.03
,,,,TUP3 (Lithic Ustorthents),,,,,
5,Ap,0-11,6.7,6.4,0.48,0.96,0.07,0.69,0.43,2.13,1.58,1.18
,AB,11-40,6.8,6.4,0.92,1.84,0.07,1.31,0.37,2.44,2.29,1.11
,B,40-43,6.0,6.2,0.94,1.88,0.06,1.27,0.38,2.13,1.45,0.93
,,Average,6.5,6.3,0.78,1.56,00.7,1.09,0.40,2.23,1.77,1.07
6,Ap,0-10,7.1,6.6,0.94,1.82,0.09,0.99,0.50,250,2.32,1.79
,AB,10-18,7.3,6.6,0.62,1.24,0.09,0.71,0.50,0.88,2.47,2.54
,B,18-21,7.4,6.6,1.36,0.74,0.07,0.92,0.48,2.57,2.49,2.41
,,Average,7.4,6.6,1.47,0.86,,0.87,0.49,1.98,2.43,2.25
