,,,,Exchangeable bases,,,,,
Pedon,Horizon,Depth,Ca,Mg,Na,K,CEC,ECEC,Ca:Mg,Base,K:Mg
,,(cm),,,,,,,,Sat.,
,,Cmolkg-1,,(%),
,,,,TLL1,Typic,Endoaqualfs,,,,
1,Ap,0-30,0.75,0.60,0.40,1.15,4.53,5.39,1.25,64,1.92
,AB,30-49,0.75,0.60,0.40,1.08,4.16,5.22,1.25,68,1.80
,B,49-73,0.75,0.60,0.43,0.97,4.52,5.15,1.25,61,1.62
,Bt1,73-104,0.60,0.65,0.30,0.97,4.52,4.82,0.92,56,1.49
,Bt2,104-110,0.50,1.00,0.30,0.67,4.42,4.87,0.50,59,0.67
,,Average,0.67,0.69,0.35,1.02,4.43,5.09,1.03,,1.50
2,Ap,0-18,0.65,0.60,0.22,0.54,4.92,5.31,1.08,41,0.90
,AB,18-27,0.55,0.70,0.22,0.54,4.92,5.31,0.79,41,0.77
,2Bw1,27-40,0.55,0.55,0.22,0.54,4.86,5.26,1.00,38,0.98
,2Bw2,40-64,0.50,0.55,0.20,0.49,4.80,4.94,0.91,36,0.89
,2Bw3,64-69,0.50,0.50,0.21,0.49,4.80,4.98,1.00,35,0.98
,,Average,0.55,0.68,0.21,0.52,4.86,5.16,1.00,49,0.90
,,,,,TUP2,Typic,Haplustepts,,,
3,Ap,0-18,0.70,0.80,0.14,0.57,3.42,4.91,0.88,65,0.71
,AB,18-27,0.60,0.65,0.17,0.28,3.48,5.07,0.92,49,0.43
,2Bw1,27-66,0.60,0.70,0.16,0.31,3.50,5.11,0.86,51,0.44
,2Bw2,66-135,0.60,0.60,0.16,0.28,3.48,5.13,1.00,47,0.47
,2Bw3,135-204,0.50,0.70,0.16,0.76,3.44,4.93,0.71,62,1.09
,,Average,0.60,0.69,0.16,0.44,3.50,5.03,0.87,,1.09
4,Ap,0-28,0.25,0.35,0.19,0.26,3.40,4.23,0.71,31,0.74
,AB,28-44,0.25,0.35,0.17,0.23,3.40,3.87,0.71,29,0.66
,2B1,44-97,0.25,0.30,0.17,0.26,3.40,4.05,0.83,29,0.87
,2B2,97-135,0.25,0.30,0.19,0.26,3.32,4.08,0.83,31,0.87
,2Bt1,135-175,0.25,0.30,0.19,0.28,3.28,4.10,0.82,31,0.93
,2Bt2,175-203,0.15,0.35,0.22,0.51,3.92,4.53,0.43,30,0.98
,,Average,0.23,0.32,4.13,0.72,,,,,
,,,,,TUP 3,Typic Ustorthents,,,41,
5,Ap,0-11,0.65,0.20,0.16,0.26,3.34,4.48,3.25,38,1.30
,AB,11-40,0.65,0.25,0.19,0.26,3.32,4.83,2.60,41,1.04
,B,40-43,0.65,0.15,0.16,0.28,3.22,4.65,4.33,39,0.43
,,Average,0.65,0.20,0.17,0.27,3.30,4.65,3.39,,0.92
6,Ap,0-10,0.82,0.50,0.22,0.24,3.93,5.58,1.64,45,0.48
,AB,10-18,0.85,0.50,0.22,0.26,4.10,5.58,1.64,45,0.52
,B,Average,0.75,0.40,2.14,0.26,4.27,5.05,1.88,42,0.65
